movieId,title,genres,year,avg_rating,no.user_rating/movie,popularity
1.0,toy story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,3.960382513661202,2562,50.7325
2.0,jumanji (1995),Adventure|Children|Fantasy,1995,3.2699652777777777,1152,18.835
3.0,grumpier old men (1995),Comedy|Romance,1995,3.1827485380116958,684,10.885
4.0,waiting to exhale (1995),Comedy|Drama|Romance,1995,3.0,138,2.07
5.0,father of the bride part ii (1995),Comedy,1995,3.1444954128440368,654,10.2825
6.0,heat (1995),Action|Crime|Thriller,1995,3.8345295055821373,1254,24.0425
7.0,sabrina (1995),Comedy|Romance,1995,3.3845050215208032,697,11.795
8.0,tom and huck (1995),Adventure|Children,1995,3.3525641025641026,78,1.3075
9.0,sudden death (1995),Action,1995,3.0074626865671643,201,3.0225
10.0,goldeneye (1995),Action|Adventure|Thriller,1995,3.4277381723914453,1543,26.445
11.0,"american president, the (1995)",Comedy|Drama|Romance,1995,3.712611607142857,896,16.6325
12.0,dracula: dead and loving it (1995),Comedy|Horror,1995,2.663316582914573,199,2.65
13.0,balto (1995),Adventure|Animation|Children,1995,3.2171052631578947,76,1.2225
14.0,nixon (1995),Drama,1995,3.4066265060240966,332,5.655
15.0,cutthroat island (1995),Action|Adventure|Romance,1995,2.710691823899371,159,2.155
16.0,casino (1995),Crime|Drama,1995,3.852664576802508,957,18.435
17.0,sense and sensibility (1995),Drama|Romance,1995,3.9551630434782608,1104,21.8325
18.0,four rooms (1995),Comedy,1995,3.3223443223443225,273,4.535
19.0,ace ventura: when nature calls (1995),Comedy,1995,2.591200733272227,1091,14.135
20.0,money train (1995),Action|Comedy|Crime|Drama|Thriller,1995,2.8660287081339715,209,2.995
21.0,get shorty (1995),Comedy|Crime|Thriller,1995,3.6304700162074552,1234,22.4
22.0,copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,3.362453531598513,538,9.045
23.0,assassins (1995),Action|Crime|Thriller,1995,3.1745283018867925,212,3.365
24.0,powder (1995),Drama|Sci-Fi,1995,3.152482269503546,423,6.6675
25.0,leaving las vegas (1995),Drama|Romance,1995,3.704857928505958,1091,20.21
26.0,othello (1995),Drama,1995,3.596774193548387,124,2.23
27.0,now and then (1995),Children|Drama,1995,3.327777777777778,90,1.4975
28.0,persuasion (1995),Drama|Romance,1995,4.042944785276074,163,3.295
29.0,"city of lost children, the (cité des enfants perdus, la) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,4.0,446,8.92
